key,chapter,season,race,modeen,locationen,tracken,time
San_Francisco_City_Dash_60,1,Legendary Start,1,Classic,San Francisco,City Dash,60
San_Francisco_Waterside_60,1,Legendary Start,2,Classic,San Francisco,Waterside,60
Himalayas_Freefall_30,1,Legendary Start,3,Classic,Himalayas,Freefall,30
Himalayas_Snow_Vault_60,1,Legendary Start,4,Classic,Himalayas,Snow Vault,60
Himalayas_Landslide_60,1,Legendary Start,5,Classic,Himalayas,Landslide,60
San_Francisco_The_City_by_the_Bay_90,1,Legendary Start,6,Classic,San Francisco,The City by the Bay,90
Scotland_The_Enchanted_Island_60,1,Gearheads,1,Classic,Scotland,The Enchanted Island,60
Scotland_Ghost_Ships_30,1,Gearheads,2,Classic,Scotland,Ghost Ships,30
Scotland_Ancient_Ruins_90,1,Gearheads,3,Classic,Scotland,Ancient Ruins,90
San_Francisco_The_Tunnel_30,1,Gearheads,4,Classic,San Francisco,The Tunnel,30
San_Francisco_Downtown_Rise_90,1,Gearheads,5,Time Attack,San Francisco,Downtown Rise,90
San_Francisco_Roller_Coaster_Ride_90,1,Gearheads,6,Classic,San Francisco,Roller Coaster Ride,90
Scotland_Lighthouse_60,1,Gearheads,7,Classic,Scotland,Lighthouse,60
Scotland_Rocky_Valley_30,1,Gearheads,8,Classic,Scotland,Rocky Valley,30
Scotland_The_Path_of_Wind_90,1,Gearheads,9,Classic,Scotland,The Path of Wind,90
Scotland_The_Windmills_120,1,Gearheads,10,Classic,Scotland,The Windmills,120
Himalayas_Cliffhanger_90,1,Class D Novice,2,Time Attack,Himalayas,Cliffhanger,90
Shanghai_Reach_for_the_Sky_60,1,Class D Novice,3,Classic,Shanghai,Reach for the Sky,60
Himalayas_Dipping_Down_90,1,Class D Novice,8,Classic,Himalayas,Dipping Down,90
Himalayas_The_Land_of_Snow_120,1,Class D Novice,10,Classic,Himalayas,The Land of Snow,120
Shanghai_Future_Road_60,1,BMW Z4,1,Classic,Shanghai,Future Road,60
Shanghai_Double_Roundabout_30,1,BMW Z4,4,Classic,Shanghai,Double Roundabout,30
Shanghai_Paris_of_the_East_30,1,BMW Z4,6,Classic,Shanghai,Paris of the East,30
Shanghai_Pudong_Rise_90,1,BMW Z4,8,Classic,Shanghai,Pudong Rise,90
Shanghai_The_Pearl_of_the_Orient_90,1,Class C Novice,4,Classic,Shanghai,The Pearl of the Orient,90
Himalayas_Frozen_Route_90,1,Class C Novice,11,Classic,Himalayas,Frozen Route,90
Himalayas_Leap_of_Faith_30,1,Exclusive Challenge Asia,2,Classic,Himalayas,Leap of Faith,30
Shanghai_Nanjing_Stroll_90,1,Exclusive Challenge Asia,4,Time Attack,Shanghai,Nanjing Stroll,90
Himalayas_Mountain_Poles_90,1,Exclusive Challenge Asia,5,Classic,Himalayas,Mountain Poles,90
Shanghai_Shopping_Spree_120,1,Exclusive Challenge Asia,10,Classic,Shanghai,Shopping Spree,120
San_Francisco_Final_del_Puente_120,1,Escape,2,Hunted,San Francisco,Final del Puente,120
US_Midwest_US_Wilderness_120,1,Escape,3,Hunted,US Midwest,US Wilderness,120
Rome_Tiber_Cross_60,1,Escape,4,Classic,Rome,Tiber Cross,60
Rome_Complete_Tour_120,1,Escape,5,Hunted,Rome,Complete Tour,120
Scotland_Freedom_Route_120,1,Escape,6,Hunted,Scotland,Freedom Route,120
San_Francisco_Railroad_Bustle_30,1,Camaro,1,Classic,San Francisco,Railroad Bustle,30
Scotland_The_Cave_90,1,Camaro,9,Classic,Scotland,The Cave,90
San_Francisco_Streets_of_San_Francisco_90,1,Camaro,10,Classic,San Francisco,Streets of San Francisco,90
Cairo_Urban_Blaze_90,1,Class D Rookie,1,Classic,Cairo,Urban Blaze,90
Cairo_A_Kings_Revival_30,1,Class D Rookie,4,Classic,Cairo,A Kings Revival,30
